load,year,month,day,hour,minute,humidity,temperature
5,2019,8,12,21,10,14.8999996185303,152.6
5,2019,8,12,21,20,14.8000001907349,152.6
5,2019,8,12,21,30,14.8999996185303,151.879997253418
5,2019,8,12,21,50,14.6000003814697,152.420002746582
5,2019,8,12,22,0,14.6000003814697,151.879997253418
5,2019,8,12,22,10,14.6000003814697,152.420002746582
5,2019,8,12,22,20,14.5,152.420002746582
5,2019,8,12,22,30,14.3000001907349,152.420002746582
5,2019,8,12,22,40,14.1999998092651,152.059994506836
5,2019,8,12,22,50,14.3999996185303,152.059994506836
5,2019,8,12,23,10,14.3000001907349,152.420002746582
5,2019,8,12,23,20,14.3999996185303,152.420002746582
5,2019,8,12,23,30,14.1000003814697,152.420002746582
5,2019,8,12,23,40,14.3000001907349,152.420002746582
5,2019,8,12,23,50,14.3999996185303,152.6
5,2019,8,13,0,0,14.3000001907349,152.779997253418
5,2019,8,13,0,10,14.3000001907349,152.779997253418
5,2019,8,13,0,20,14.1999998092651,152.420002746582
5,2019,8,13,0,30,14.3000001907349,152.6
5,2019,8,13,0,50,14.1999998092651,152.779997253418
5,2019,8,13,1,0,14.1000003814697,152.059994506836
5,2019,8,13,1,10,14.0,152.420002746582
5,2019,8,13,1,20,14.1999998092651,152.6
5,2019,8,13,1,30,14.1000003814697,152.6
5,2019,8,13,1,40,13.8999996185303,152.6
5,2019,8,13,1,50,13.8999996185303,152.6
5,2019,8,13,2,0,13.8999996185303,152.6
5,2019,8,13,2,10,14.0,152.420002746582
5,2019,8,13,2,20,14.0,152.059994506836
5,2019,8,13,2,30,14.0,152.6
5,2019,8,13,2,40,13.8000001907349,152.420002746582
5,2019,8,13,2,50,14.0,152.059994506836
5,2019,8,13,3,0,14.0,152.420002746582
5,2019,8,13,3,10,13.8999996185303,152.6
5,2019,8,13,3,20,13.8999996185303,152.420002746582
5,2019,8,13,3,30,13.6999998092651,152.420002746582
5,2019,8,13,3,50,13.8999996185303,152.420002746582
5,2019,8,13,4,0,13.8000001907349,152.059994506836
5,2019,8,13,4,10,13.8000001907349,152.059994506836
5,2019,8,13,4,20,13.8000001907349,151.159994506836
5,2019,8,13,4,30,14.0,150.8
